Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,lang,target,results,is_result
The Mereology of Depression-Networks of Depressive Symptoms during the Course of Psychotherapy,"Holler, I.; Schreiber, D.; Bos, F.; Forkmann, T.; Teismann, T.; Margraf, J.",1 background research ha shown that it is important to examine depressive symptom in the light of the mereology the ratio between one symptom and the whole disorder the goal of this study wa to examine change in the symptom interrelation of patient undergoing cognitive behavioral therapy treatment cbt via network analysis 2 method outpatient with depressive symptom n 401 were assessed with the beck depression inventory three time pretreatment after 12 session and post treatment during cbt gaussian graphical model were used to estimate the relationship among symptom 3 result the severity of depressive symptom significantly decreased over the course of therapy but connectivity in the network significantly increased community of symptom changed during treatment the most central and predictable symptom wa worthlessness at baseline and after 12 session and loss of energy and self dislike at post treatment 4 conclusion the result indicate that the severity of depressive symptom decreased during cognitive behavior therapy while network connectivity increased furthermore the association among symptom and their centrality changed during the course of therapy future study may investigate individual difference and their impact on the planning of psychotherapeutic treatment,2022,Jun 10,Int J Environ Res Public Health,19,12,7131,35742380.0,10.3390/ijerph19127131,,#1,Holler 2022,Louis Schiekiera (2023-06-17 00:09:17)(Screen): pos; ,,en,1.0,,0
Experience Versus Report: Where Are Changes Seen After Exposure-Based Cognitive-Behavioral Therapy? A Randomized Controlled Group Treatment of Childhood Social Anxiety Disorder,"Asbrand, J.; Heinrichs, N.; Schmidtendorf, S.; Nitschke, K.; Tuschen-Caffier, B.",a considerable number of child and adolescent with social anxiety disorder sad do not benefit from treatment a much a expected however treatment success should not be measured with social anxiety report alone the cognitive behavioral and physiological component of social stress should also be assessed the author examined an exposure based sad specific group cognitive behavioral therapy cbt in a randomized controlled trial n 67 age 9 13 year blind randomized allocation to treatment cbt n 31 and waitlist control wlc n 36 group success wa operationalized a a clinically significant reduction of symptom measured with sad specific questionnaire structured interview and change in response to the trier social stress test tsst in the cbt group there wa a trend toward a significant increase in positive cognition in the tsst after treatment d 0 37 whereas these positive cognition decreased in the wlc group d 0 40 no significant result involving group appeared for negative cognition behavior and physiology child in the cbt group but not parent further reported le social anxiety in one questionnaire from pre to post treatment d 0 89 a structured interview confirmed a decrease in severity of sad in the cbt group while the gold standard of a blind interview showed efficacy of treatment not all trait and state measure demonstrated similar success pattern trial registration eligibility criterion and some of the dependent variable cognition physiology for treatment success were registered with the german research foundation tu 78 5 2 he 3342 4 2 prior to recruitment clinical assessment of diagnosis and behavioral data were not a priori planned a outcome measure for this trial and therefore analyzed in a post hoc approach,2020,Jun,Child Psychiatry Hum Dev,51,3,427-441,31960175.0,10.1007/s10578-019-00954-w,,#7,Asbrand 2020,Louis Schiekiera (2023-05-18 00:13:24)(Screen): mix; ,,en,0.0,,0
Emotion recognition in girls with conduct problems,"Schwenck, C.; Gensthaler, A.; Romanos, M.; Freitag, C. M.; Schneider, W.; Taurines, R.",a deficit in emotion recognition ha been suggested to underlie conduct problem although several study have been conducted on this topic so far most concentrated on male participant the aim of the current study wa to compare recognition of morphed emotional face in girl with conduct problem cp with elevated or low callous unemotional cu v cu trait and a matched healthy developing control group cg sixteen girl with cp cu 16 girl with cp cu and 32 control mean age 13 23 year sd 2 33 year were included video clip with morphed face were presented in two run to a emotion recognition multivariate analysis of variance with the factor group and run wa performed girl with cp cu needed more time than the cg to encode sad fearful and happy face and they correctly identified sadness le often girl with cp cu outperformed the other group in the identification of fear learning effect throughout run were the same for all group except that girl with cp cu correctly identified fear le often in the second run compared to the first run result need to be replicated with comparable task which might result in subgroup specific therapeutic recommendation,2014,Jan,Eur Child Adolesc Psychiatry,23,1,13-22,23568422.0,10.1007/s00787-013-0416-8,,#8,Schwenck 2014,Louis Schiekiera (2023-06-16 07:17:15)(Screen): pos; ,,en,1.0,,0
Body image related negative interpretation bias in anorexia nervosa,"Brockmeyer, T.; Anderle, A.; Schmidt, H.; Febry, S.; Wunsch-Leiteritz, W.; Leiteritz, A.; Friederich, H. C.",a distorted body image and pronounced body dissatisfaction are hallmark of anorexia nervosa an that typically result in dietary restraint and compensatory behaviour cognitive bias such a negative interpretation bias are considered key maintaining factor of these maladaptive cognition and behaviour however little attention ha been paid to empirical test whether negative interpretation bias exists in an and to what degree it is associated with symptom severity participant in the present study were 40 woman with an and 40 healthy woman with no history of an eating disorder body related negative interpretation bias i e a tendency to interpret ambiguous information about the own body in a negative way wa measured by a scrambled sentence task patient with an showed a stronger body related negative interpretation bias than healthy control within both group negative interpretation bias correlated strongly and positively with an symptom severity and these effect were not moderated by level of depressive symptom the finding support the idea that biased interpretation of body related information is associated with the specific psychopathology of an targeted computerised intervention e g interpretation bias modification may help to alter these dysfunctional cognitive schema that lie at the heart of an,2018,May,Behav Res Ther,104,,69-73,29567546.0,10.1016/j.brat.2018.03.003,,#9,Brockmeyer 2018,Louis Schiekiera (2023-06-14 00:52:39)(Screen): mix; ,,en,0.0,,0
"Effects of approach-avoidance training on implicit and explicit evaluations of neutral, angry, and smiling face stimuli","Woud, M. L.; Becker, E. S.; Lange, W. G.; Rinck, M.",a growing body of evidence show that the prolonged execution of approach movement towards stimulus and avoidance movement away from them affect their evaluation however there ha been no systematic investigation of such training effect therefore the present study compared approach avoidance training effect on various valenced representation of one neutral experiment 1 n 85 angry experiment 2 n 87 or smiling facial expression experiment 3 n 89 the face stimulus were shown on a computer screen and by mean of a joystick participant pulled half of the face closer positive approach movement and pushed the other half away negative avoidance movement only implicit evaluation of neutral expression were affected by the training procedure the boundary condition of such approach avoidance training effect are discussed,2013,Aug,Psychol Rep,113,1,1211-28,24340811.0,10.2466/21.07.pr0.113x10z1,,#10,Woud 2013,Louis Schiekiera (2023-06-16 07:01:40)(Screen): pos; ,,en,1.0,,0
Olfactory Perception in Relation to the Physicochemical Odor Space,"Bierling, A. L.; Croy, I.; Hummel, T.; Cuniberti, G.; Croy, A.",a growing body of research aim at solving what is often referred to a the stimulus percept problem in olfactory perception although computational effort have made it possible to predict perceptual impression from the physicochemical space of odor study with large psychophysical datasets from non expert remain scarce following previous approach we developed a physicochemical odor space using 4094 molecular descriptor of 1389 odor molecule for 20 of these odor we examined association with perceived pleasantness intensity odor quality and detection threshold obtained from a dataset of 2000 naive participant our result show significant difference in perceptual rating and we were able to replicate previous finding on the association between perceptual rating and the first dimension of the physicochemical odor space however the present analysis also revealed striking interindividual variation in perceived pleasantness and intensity additionally interaction between pleasantness intensity and olfactory and trigeminal qualitative dimension were found to conclude our result support previous finding on the relation between structure and perception on the group level in our sample of non expert raters in the challenging task to relate olfactory stimulus and percept the physicochemical odor space can serve a a reliable and helpful tool to structure the high dimensional space of olfactory stimulus nevertheless human olfactory perception in the individual is not an analytic process of molecule detection alone but is part of a holistic integration of multisensory input context and experience,2021,Apr 28,Brain Sci,11,5,563,33925220.0,10.3390/brainsci11050563,,#11,Bierling 2021,Louis Schiekiera (2023-06-08 09:17:51)(Screen): pos; ,,en,1.0,,0
Theory of Mind in Pre-school Aged Children: Influence of Maternal Depression and Infants' Self-Comforting Behavior,"Nonnenmacher, N.; Muller, M.; Taczkowski, J.; Zietlow, A. L.; Sodian, B.; Reck, C.",a milestone of child development is theory of mind tom the ability to attribute mental state especially belief and desire to other person and to understand that their behavior is guided by mental state the learning process about the mental world also take place in social communication and interaction beginning in infancy infancy is assumed to be a sensitive period for the development of social skill through interaction due to limited self regulatory skill infant depend on sensitive behavior of their caregiver to regulate affective state and physiological arousal and in turn mutually regulated affect allow the infant to gradually acquire the capability to self regulate negative affective state effective and adequate affect regulation is an important prerequisite for environmental interaction and thus for the development of socio emotional skill the present study investigated the relation of self regulatory ability in infancy and later tom in pre school aged child of clinically depressed mother and healthy control the sample comprised of n 55 mother child dyad n 22 diagnosed with postpartum or lifetime depression according to dsm iv and n 33 healthy control mother infant interaction wa videotaped during the face to face still face paradigm at 3 and 42 month postpartum mother were interviewed with the structured clinical interview for dsm iv axis i disorder scid i to evaluate maternal psychopathological status according to dsm iv at the age of m 4 0 year child s tom ability were assessed using content false belief and location false belief task the result of this study show that contrary to our hypothesis maternal depression did not impair the development of child s tom ability per se rather an interaction effect highlight the role of infant s self comforting behavior during mother infant interaction in infancy 3 month postpartum for tom development at pre school age assessed with the maxi task this association wa distinct for female in comparison to male child the result of this longitudinal study shed light on the discussion how maternal depression influence child development and point in the direction that self comforting behavior in infancy can also be seen a a resource,2021,2021/11/24,Front Psychol,12,,741786,34899482.0,10.3389/fpsyg.2021.741786,,#13,Nonnenmacher 2021,Jonathan Diederichs (2023-06-22 00:27:17)(Screen): neg; ,,en,-1.0,,0
Personality types revisited-a literature-informed and data-driven approach to an integration of prototypical and dimensional constructs of personality description,"Kerber, A.; Roth, M.; Herzberg, P. Y.",a new algorithmic approach to personality prototyping based on big five trait wa applied to a large representative and longitudinal german dataset n 22 820 including behavior personality and health correlate we applied three different clustering technique latent profile analysis the k mean method and spectral clustering algorithm the resulting cluster center i e the personality prototype were evaluated using a large number of internal and external validity criterion including health locus of control self esteem impulsivity risk taking and wellbeing the best fitting prototypical personality profile were labeled according to their euclidean distance to averaged personality type profile identified in a review of previous study on personality type this procedure yielded a five cluster solution resilient overcontroller undercontroller reserved and vulnerable resilient reliability and construct validity could be confirmed we discus wether personality type could comprise a bridge between personality and clinical psychology a well a between developmental psychology and resilience research,2021,2021/01/07,PLOS ONE,16,1,e0244849,33411758.0,10.1371/journal.pone.0244849,,#14,Kerber 2021,Louis Schiekiera (2023-06-08 08:49:52)(Screen): pos; ,,en,1.0,,0
Oxytocin differentially modulates eye gaze to naturalistic social signals of happiness and anger,"Domes, G.; Steiner, A.; Porges, S. W.; Heinrichs, M.",a number of previous study ha shown that oxytocin ot promotes facial emotion recognition and enhances eye gaze to facial stimulus in human other study report valence specific effect of ot supporting the proposed prosocial role of ot in social interaction in the present study we tested the hypothesis whether ot might selectively enhance eye gaze to positive approach related but not to negative threat related social cue in a placebo controlled double blind between subject design we assessed the effect of intranasal ot administration 24 iu in 62 healthy male volunteer on eye gaze toward the eye of neutral positive happy and negative angry facial expression compared with placebo in order to capture the dynamic of facial expression we used video sequence showing neutral face gradually displaying a specific emotion in line with previous study ot increased eye gaze toward neutral facial expression moreover under ot treatment eye gaze remained increased when the face showed a happy facial expression but in contrast decreased when the face displayed an angry expression these result support the notion that ot differentially modulates visual attention toward social signal of positive approach and threat and thereby contributes to the modulation of non verbal interpersonal communication,2013,Jul,Psychoneuroendocrinology,38,7,1198-202,23117026.0,10.1016/j.psyneuen.2012.10.002,,#15,Domes 2013,Louis Schiekiera (2023-06-14 21:59:09)(Screen): pos; ,,en,1.0,,0
Use of machine learning to classify adult ADHD and other conditions based on the Conners' Adult ADHD Rating Scales,"Christiansen, H.; Chavanon, M. L.; Hirsch, O.; Schmidt, M. H.; Meyer, C.; Muller, A.; Rumpf, H. J.; Grigorev, I.; Hoffmann, A.",a reliable diagnosis of adult attention deficit hyperactivity disorder adhd is challenging a many of the symptom of adhd resemble symptom of other disorder adhd is associated with gambling disorder and obesity showing overlap of about 20 with each diagnosis it is important for clinical practice to differentiate between condition displaying similar symptom via established diagnostic instrument applying the lightgbm algorithm in machine learning we were able to differentiate subject with adhd obesity problematic gambling and a control group using all 26 item of the conners adult adhd rating scale caars s s with a global accuracy of 80 precision positive predictive value ranged between 78 gambling and 92 obesity recall sensitivity between 58 for obesity and 87 for adhd model with the best 5 and best 10 item resulted in le satisfactory fit the caars s seems to be a promising instrument to be applied in clinical practice also for multiclassifying disorder displaying symptom resembling adhd,2020,Nov 2,Sci Rep,10,1,18871,33139794.0,10.1038/s41598-020-75868-y,,#17,Christiansen 2020,Louis Schiekiera (2023-06-05 20:00:28)(Screen): pos; ,,en,1.0,,0
