Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Tags,lang,target,target_tag,rater
The Mereology of Depression-Networks of Depressive Symptoms during the Course of Psychotherapy,"Holler, I.; Schreiber, D.; Bos, F.; Forkmann, T.; Teismann, T.; Margraf, J.","(1) Background: Research has shown that it is important to examine depressive symptoms in the light of the mereology (the ratio between one symptom and the whole disorder). The goal of this study was to examine changes in the symptom interrelations of patients undergoing cognitive behavioral therapy treatment (CBT) via network analyses. (2) Method: Outpatients with depressive symptoms (N = 401) were assessed with the Beck Depression Inventory three times (pretreatment, after 12 sessions, and post-treatment) during CBT. Gaussian graphical models were used to estimate the relationships among symptoms. (3) Results: The severity of depressive symptoms significantly decreased over the course of therapy, but connectivity in the networks significantly increased. Communities of symptoms changed during treatment. The most central and predictable symptom was worthlessness at baseline and after 12 sessions, and loss of energy and self-dislike at post-treatment. (4) Conclusion: The results indicate that the severity of depressive symptoms decreased during cognitive behavior therapy, while network connectivity increased. Furthermore, the associations among symptoms and their centrality changed during the course of therapy. Future studies may investigate individual differences and their impact on the planning of psychotherapeutic treatment.",2022,Jun 10,Int J Environ Res Public Health,19,12,7131,35742380.0,10.3390/ijerph19127131,,#1,Holler 2022,,en,1.0,PRO,LS
"Winning the game: brain processes in expert, young elite and amateur table tennis players","Wolf, S.; Brolz, E.; Scholz, D.; Ramos-Murguialday, A.; Keune, P. M.; Hautzinger, M.; Birbaumer, N.; Strehl, U.","(1) compared with amateurs and young elite, expert table tennis players are characterized by enhanced cortical activation in the motor and fronto-parietal cortex during motor imagery in response to table tennis videos; (2) in elite athletes, world rank points are associated with stronger cortical activation. To this aim, electroencephalographic data were recorded in 14 expert, 15 amateur and 15 young elite right-handed table tennis players. All subjects watched videos of a serve and imagined themselves responding with a specific table tennis stroke. With reference to a baseline period, power decrease/increase of the sensorimotor rhythm (SMR) during the pretask- and task period indexed the cortical activation/deactivation (event-related desynchronization/synchronization, ERD/ERS). Regarding hypothesis (1), 8-10 Hz SMR ERD was stronger in elite athletes than in amateurs with an intermediate ERD in young elite athletes in the motor cortex. Regarding hypothesis (2), there was no correlation between ERD/ERS in the motor cortex and world rank points in elite experts, but a weaker ERD in the fronto-parietal cortex was associated with higher world rank points. These results suggest that motor skill in table tennis is associated with focused excitability of the motor cortex during reaction, movement planning and execution with high attentional demands. Among elite experts, less activation of the fronto-parietal attention network may be necessary to become a world champion.",2014,2014/10/27,Front Behav Neurosci,8,,370,25386126.0,10.3389/fnbeh.2014.00370,,#2,Wolf 2014,,en,0.0,MNR,JD
Alignment of the personality inventory for ICD-11 with the five-factor model of personality,"Stricker, J.; Buecker, S.; Pietrowsky, R.","A central innovation in the International Classification of Diseases 11th Revision (ICD-11) is a dimensional personality disorder model differentiating five personality trait domains. The Personality Inventory for ICD-11 (PiCD) is a frequently used measure to assess these components of the ICD-11 personality disorder model. Conceptually, the ICD-11 personality trait domains correspond to trait domains from the five-factor model (FFM) of personality. However, empirically, it is unclear how the PiCD scales align with the FFM. In this questionnaire study with 480 German community adults, we assessed the joint factor structure of the PiCD trait domain scales and the FFM personality facets (assessed with the Big Five Inventory-2 [BFI-2]). A principal axis factor analysis revealed a joint five-factorial structure. The PiCD trait domain scales and the BFI-2 facet scales of the respectively corresponding FFM trait domains were almost perfectly aligned, including a bipolar anankastia-disinhibition factor along the conscientiousness dimension. Facets of openness to experience formed a fifth factor, separate from the PiCD scales. Together, these findings demonstrate structural correspondences of the PiCD trait domain scales and the respective BFI-2 facet scales, mirroring conceptual analogies between the ICD-11 and FFM personality models. (PsycInfo Database Record (c) 2022 APA, all rights reserved).",2022,Jul,Psychol Assess,34,7,711-716,35511514.0,10.1037/pas0001141,,#5,Stricker 2022,,en,1.0,PRO,LS
Development and Psychometric Properties of a Computer-Based Standardized Emotional Competence Inventory (MeKKi) for Preschoolers and School-Aged Children,"In-Albon, T.; Shafiei, M.; Christiansen, H.; Konen, T.; Gutzweiler, R.; Schmitz, J.","A computer-based emotional competence inventory for preschoolers and school-aged children (MeKKi) was developed to assess five components of emotional competence: emotion vocabulary, emotion identification (situational, visual, auditory), emotion understanding, emotion expression, and emotion regulation. Validity, reliability, and factor structure were examined in a community sample of 313 preschoolers and school-aged children (164 boys, 145 girls, 4 n.a.) age 4-11 years (M = 6.35 years, SD = 1.85). Item statistics and Cronbach's alpha were calculated for the subscales. The unidimensionality of the subscales was additionally tested via item response theory or confirmatory factor analysis. Internal consistency (alpha) was overall satisfactory at 0.82, though the consistencies of the Visual and Auditory Emotion Identification subscales were lower. Unidimensionality was demonstrated for all subscales except Emotion Understanding. Results provide support for the use of the MeKKi in research and clinical settings to assess emotional competence.",2022,Dec,Child Psychiatry Hum Dev,53,6,1207-1220,34117579.0,10.1007/s10578-021-01206-6,,#6,In-Albon 2022,,en,0.0,MNR,LS
Experience Versus Report: Where Are Changes Seen After Exposure-Based Cognitive-Behavioral Therapy? A Randomized Controlled Group Treatment of Childhood Social Anxiety Disorder,"Asbrand, J.; Heinrichs, N.; Schmidtendorf, S.; Nitschke, K.; Tuschen-Caffier, B.","A considerable number of children and adolescents with social anxiety disorder (SAD) do not benefit from treatment as much as expected. However, treatment success should not be measured with social anxiety reports alone; the cognitive, behavioral, and physiological components of social stress should also be assessed. The authors examined an exposure-based SAD-specific group cognitive behavioral therapy (CBT) in a randomized controlled trial (N = 67, age 9-13 years, blind randomized allocation to treatment [CBT; n = 31] and waitlist control [WLC; n = 36] groups). Success was operationalized as a clinically significant reduction of symptoms measured with SAD-specific questionnaires, structured interviews, and changes in response to the Trier Social Stress Test (TSST). In the CBT group, there was a trend toward a significant increase in positive cognitions in the TSST after treatment (d = 0.37), whereas these positive cognitions decreased in the WLC group (d = 0.40). No significant results involving group appeared for negative cognitions, behavior and physiology. Children in the CBT group, but not parents, further reported less social anxiety in one questionnaire from pre- to post-treatment (d = 0.89). A structured interview confirmed a decrease in severity of SAD in the CBT group. While the gold standard of a blind interview showed efficacy of treatment, not all trait and state measures demonstrated similar success patterns.Trial registration Eligibility criteria and some of the dependent variables (cognitions, physiology) for treatment success were registered with the German Research Foundation (TU 78/5-2, HE 3342/4-2) prior to recruitment. Clinical assessment of diagnosis and behavioral data were not a priori planned as outcome measures for this trial and therefore analyzed in a post-hoc approach.",2020,Jun,Child Psychiatry Hum Dev,51,3,427-441,31960175.0,10.1007/s10578-019-00954-w,,#7,Asbrand 2020,,en,0.0,MNR,LS
Emotion recognition in girls with conduct problems,"Schwenck, C.; Gensthaler, A.; Romanos, M.; Freitag, C. M.; Schneider, W.; Taurines, R.","A deficit in emotion recognition has been suggested to underlie conduct problems. Although several studies have been conducted on this topic so far, most concentrated on male participants. The aim of the current study was to compare recognition of morphed emotional faces in girls with conduct problems (CP) with elevated or low callous-unemotional (CU+ vs. CU-) traits and a matched healthy developing control group (CG). Sixteen girls with CP-CU+, 16 girls with CP-CU- and 32 controls (mean age: 13.23 years, SD=2.33 years) were included. Video clips with morphed faces were presented in two runs to assess emotion recognition. Multivariate analysis of variance with the factors group and run was performed. Girls with CP-CU- needed more time than the CG to encode sad, fearful, and happy faces and they correctly identified sadness less often. Girls with CP-CU+ outperformed the other groups in the identification of fear. Learning effects throughout runs were the same for all groups except that girls with CP-CU- correctly identified fear less often in the second run compared to the first run. Results need to be replicated with comparable tasks, which might result in subgroup-specific therapeutic recommendations.",2014,Jan,Eur Child Adolesc Psychiatry,23,1,13-22,23568422.0,10.1007/s00787-013-0416-8,,#8,Schwenck 2014,,en,1.0,PRO,LS
Body image related negative interpretation bias in anorexia nervosa,"Brockmeyer, T.; Anderle, A.; Schmidt, H.; Febry, S.; Wunsch-Leiteritz, W.; Leiteritz, A.; Friederich, H. C.","A distorted body image and pronounced body dissatisfaction are hallmarks of anorexia nervosa (AN) that typically result in dietary restraint and compensatory behaviours. Cognitive biases such as negative interpretation bias are considered key maintaining factors of these maladaptive cognitions and behaviours. However, little attention has been paid to empirical tests whether negative interpretation bias exists in AN and to what degree it is associated with symptom severity. Participants in the present study were 40 women with AN and 40 healthy women with no history of an eating disorder. Body-related negative interpretation bias (i.e., a tendency to interpret ambiguous information about the own body in a negative way) was measured by a Scrambled Sentences Task. Patients with AN showed a stronger body-related negative interpretation bias than healthy controls. Within both groups, negative interpretation bias correlated strongly and positively with AN symptom severity and these effects were not moderated by levels of depressive symptoms. The findings support the idea that biased interpretation of body-related information is associated with the specific psychopathology of AN. Targeted, computerised interventions (e.g. interpretation bias modification) may help to alter these dysfunctional cognitive schemas that lie at the heart of AN.",2018,May,Behav Res Ther,104,,69-73,29567546.0,10.1016/j.brat.2018.03.003,,#9,Brockmeyer 2018,,en,0.0,MNR,LS
"Effects of approach-avoidance training on implicit and explicit evaluations of neutral, angry, and smiling face stimuli","Woud, M. L.; Becker, E. S.; Lange, W. G.; Rinck, M.","A growing body of evidence shows that the prolonged execution of approach movements towards stimuli and avoidance movements away from them affects their evaluation. However, there has been no systematic investigation of such training effects. Therefore, the present study compared approach-avoidance training effects on various valenced representations of one neutral (Experiment 1, N = 85), angry (Experiment 2, N = 87), or smiling facial expressions (Experiment 3, N= 89). The face stimuli were shown on a computer screen, and by means of a joystick, participants pulled half of the faces closer (positive approach movement), and pushed the other half away (negative avoidance movement). Only implicit evaluations of neutral-expression were affected by the training procedure. The boundary conditions of such approach-avoidance training effects are discussed.",2013,Aug,Psychol Rep,113,1,1211-28,24340811.0,10.2466/21.07.pr0.113x10z1,,#10,Woud 2013,,en,1.0,PRO,LS
Olfactory Perception in Relation to the Physicochemical Odor Space,"Bierling, A. L.; Croy, I.; Hummel, T.; Cuniberti, G.; Croy, A.","A growing body of research aims at solving what is often referred to as the stimulus-percept problem in olfactory perception. Although computational efforts have made it possible to predict perceptual impressions from the physicochemical space of odors, studies with large psychophysical datasets from non-experts remain scarce. Following previous approaches, we developed a physicochemical odor space using 4094 molecular descriptors of 1389 odor molecules. For 20 of these odors, we examined associations with perceived pleasantness, intensity, odor quality and detection threshold, obtained from a dataset of 2000 naive participants. Our results show significant differences in perceptual ratings, and we were able to replicate previous findings on the association between perceptual ratings and the first dimensions of the physicochemical odor space. However, the present analyses also revealed striking interindividual variations in perceived pleasantness and intensity. Additionally, interactions between pleasantness, intensity, and olfactory and trigeminal qualitative dimensions were found. To conclude, our results support previous findings on the relation between structure and perception on the group level in our sample of non-expert raters. In the challenging task to relate olfactory stimulus and percept, the physicochemical odor space can serve as a reliable and helpful tool to structure the high-dimensional space of olfactory stimuli. Nevertheless, human olfactory perception in the individual is not an analytic process of molecule detection alone, but is part of a holistic integration of multisensory inputs, context and experience.",2021,Apr 28,Brain Sci,11,5,563,33925220.0,10.3390/brainsci11050563,,#11,Bierling 2021,,en,1.0,PRO,LS
Theory of Mind in Pre-school Aged Children: Influence of Maternal Depression and Infants' Self-Comforting Behavior,"Nonnenmacher, N.; Muller, M.; Taczkowski, J.; Zietlow, A. L.; Sodian, B.; Reck, C.","A milestone of child development is theory of mind (ToM): the ability to attribute mental states, especially beliefs and desires, to other persons and to understand that their behavior is guided by mental states. The learning process about the mental world also takes place in social communication and interaction, beginning in infancy. Infancy is assumed to be a sensitive period for the development of social skills through interaction. Due to limited self-regulatory skills, infants depend on sensitive behavior of their caregivers to regulate affective states and physiological arousal, and in turn, mutually regulated affects allow the infant to gradually acquire the capability to self-regulate negative affective states. Effective and adequate affect regulation is an important prerequisite for environmental interaction and thus for the development of socio-emotional skills. The present study investigated the relation of self-regulatory abilities in infancy and later ToM in pre-school aged children of clinically depressed mothers and healthy controls. The sample comprised of N = 55 mother-child dyads, n = 22 diagnosed with postpartum or lifetime depression according to DSM-IV and n = 33 healthy controls. Mother-infant-interaction was videotaped during the Face-to-Face Still-Face paradigm. At 3 and 42 months postpartum mothers were interviewed with the Structured Clinical Interview for DSM-IV Axis I Disorders (SCID-I) to evaluate maternal psychopathological status according to DSM-IV. At the age of M = 4.0 years, children's ToM abilities were assessed using content-false-belief and location-false-belief tasks. The results of this study show that contrary to our hypotheses, maternal depression did not impair the development of children's ToM-abilities per se. Rather, an interaction effect highlights the role of infant's self-comforting behavior during mother-infant interaction in infancy (3 months postpartum) for ToM-development at pre-school age assessed with the Maxi-task; this association was distinct for female in comparison to male children. The results of this longitudinal study shed light on the discussion, how maternal depression influences child development and point in the direction that self-comforting behaviors in infancy can also be seen as a resource.",2021,2021/11/24,Front Psychol,12,,741786,34899482.0,10.3389/fpsyg.2021.741786,,#13,Nonnenmacher 2021,,en,0.0,MNR,JD
