"","Title","Authors","Abstract","Published.Year","Published.Month","Journal","Volume","Issue","Pages","Accession.Number","DOI","Ref","Covidence..","Study","Notes","Tags","cld2","target","results"
"1","The Mereology of Depression-Networks of Depressive Symptoms during the Course of Psychotherapy","Holler, I.; Schreiber, D.; Bos, F.; Forkmann, T.; Teismann, T.; Margraf, J.","(1) Background: Research has shown that it is important to examine depressive symptoms in the light of the mereology (the ratio between one symptom and the whole disorder). The goal of this study was to examine changes in the symptom interrelations of patients undergoing cognitive behavioral therapy treatment (CBT) via network analyses. (2) Method: Outpatients with depressive symptoms (N = 401) were assessed with the Beck Depression Inventory three times (pretreatment, after 12 sessions, and post-treatment) during CBT. Gaussian graphical models were used to estimate the relationships among symptoms. (3) Results: The severity of depressive symptoms significantly decreased over the course of therapy, but connectivity in the networks significantly increased. Communities of symptoms changed during treatment. The most central and predictable symptom was worthlessness at baseline and after 12 sessions, and loss of energy and self-dislike at post-treatment. (4) Conclusion: The results indicate that the severity of depressive symptoms decreased during cognitive behavior therapy, while network connectivity increased. Furthermore, the associations among symptoms and their centrality changed during the course of therapy. Future studies may investigate individual differences and their impact on the planning of psychotherapeutic treatment. NA NA NA",2022,"Jun 10","Int J Environ Res Public Health",19,"12","7131",35742380,"10.3390/ijerph19127131",NA,"#1","Holler 2022","Louis Schiekiera (2023-06-17 00:09:17)(Screen): pos; ","","en",1,"Results: The severity of depressive symptoms significantly decreased over the course of therapy, but connectivity in the networks significantly increased. Communities of symptoms changed during treatment. The most central and predictable symptom was worthlessness at baseline and after 12 sessions, and loss of energy and self-dislike at post-treatment. (4) Conclusion:"
"36","Central nervous system processing of emotions in children with nocturnal enuresis and attention-deficit/hyperactivity disorder","Equit, M.; Becker, A.; El Khatib, D.; Rubly, M.; Becker, N.; von Gontard, A.","AIM: Nocturnal enuresis (NE) and attention-deficit/hyperactivity disorder (ADHD) are common in childhood. We analysed the central processing of emotions in children with NE, ADHD, NE + ADHD and controls. METHODS: We examined 13 children with NE, 13 with ADHD, 14 with NE + ADHD and 14 controls. Acoustic evoked potentials were recorded using standardised methodology. For the event-related potentials, positive, negative and neutral pictures were presented and time intervals of 250-450, 450-650 and 650-850 msec evaluated. Hypotheses were tested with repeated-measures analyses of variance. RESULTS: In the frontal region, children with NE showed more intense responses to positive and negative pictures than controls measured with event-related potentials. Viewing positive pictures, children with NE + ADHD differed from children with ADHD in the central and parietal and for all types of stimuli in the parietal region. Children with NE + ADHD elicited the strongest responses. Children with ADHD did not differ from controls. There was an unspecific interaction effect of the acoustic evoked potentials in children with NE compared to the controls. CONCLUSION: Children with NE processed emotions differently from children with ADHD and controls. Children with NE + ADHD processed emotions the most intense, displaying interaction effects of the central nervous system that cannot be explained by each disorder alone. NA NA NA",2014,"Aug","Acta Paediatr",103,"8","868-78",24799133,"10.1111/apa.12676",NA,"#61","Equit 2014","Jonathan Diederichs (2023-06-14 05:49:23)(Screen): mix; ","","en",0,"RESULTS: In the frontal region, children with NE showed more intense responses to positive and negative pictures than controls measured with event-related potentials. Viewing positive pictures, children with NE + ADHD differed from children with ADHD in the central and parietal and for all types of stimuli in the parietal region. Children with NE + ADHD elicited the strongest responses. Children with ADHD did not differ from controls. There was an unspecific interaction effect of the acoustic evoked potentials in children with NE compared to the controls. CONCLUSION:"
"37","Regional differences in health-related quality of life in elderly heart failure patients: results from the CIBIS-ELD trial","Chavanon, M. L.; Inkrot, S.; Zelenak, C.; Tahirovic, E.; Stanojevic, D.; Apostolovic, S.; Sljivic, A.; Ristic, A. D.; Matic, D.; Loncar, G.; Veskovic, J.; Zdravkovic, M.; Lainscak, M.; Pieske, B.; Herrmann-Lingen, C.; Dungen, H. D.","AIM: Patient-reported outcomes such as health-related quality of life (HRQoL) are main treatment goals for heart failure (HF) and therefore endpoints in multinational therapy trials. However, little is known about country-specific differences in HRQoL and in treatment-associated HRQoL improvement. The present work sought to examine those questions. METHODS AND RESULTS: We analysed data from the Cardiac Insufficiency Bisoprolol Study in Elderly (CIBIS-ELD) trial, in which patients from central and south-eastern Europe completed the HRQoL questionnaire SF-36 at baseline and the end of a 12-week beta-blocker up-titration (follow-up). 416 patients from Serbia (mean age 72.21 years, 69% NYHA-class I-II, 27.4% women) and 114 from Germany (mean age 73.64 years, 78.9% NYHA-class I-II, 47.4% women) were included. Controlling for clinical variables, the change in mental HRQoL from baseline to follow-up was modulated by Country: Serbian patients, M (baseline) = 37.85 vs. M (follow-up) = 40.99, t(526) = 5.34, p < .001, reported a stronger increase than Germans, M (baseline) = 37.66 vs. M (follow-up) = 38.23, t(526) = 0.68, ns. For physical HRQoL, we observed a main effect of Country, M (Serbia) = 39.28 vs. M (Germany) = 35.29, t(526) = 4.24, p < .001. CONCLUSION: We observed significant differences in HF patients from Germany and Serbia and country-specific differences between Serbian and German patients in mean physical HRQoL. Changes in mental HRQoL were modulated by country. Those results may reflect psychological, sociocultural, aetiological differences or regional differences in phenotype prevalence. More importantly, they suggest that future multinational trials should consider such aspects when designing a trial in order to avoid uncertainties aligned to data interpretation and to improve subsequent treatment optimisation. NA significant, significant NA",2017,"Aug","Clin Res Cardiol",106,"8","645-655",28361371,"10.1007/s00392-017-1101-6",NA,"#62","Chavanon 2017","Jonathan Diederichs (2023-05-19 23:07:53)(Screen): pos; ","","en",1,"RESULTS: We analysed data from the Cardiac Insufficiency Bisoprolol Study in Elderly (CIBIS-ELD) trial, in which patients from central and south-eastern Europe completed the HRQoL questionnaire SF-36 at baseline and the end of a 12-week beta-blocker up-titration (follow-up). 416 patients from Serbia (mean age 72.21 years, 69% NYHA-class I-II, 27.4% women) and 114 from Germany (mean age 73.64 years, 78.9% NYHA-class I-II, 47.4% women) were included. Controlling for clinical variables, the change in mental HRQoL from baseline to follow-up was modulated by Country: Serbian patients, M (baseline) = 37.85 vs. M (follow-up) = 40.99, t(526) = 5.34, p < .001, reported a stronger increase than Germans, M (baseline) = 37.66 vs. M (follow-up) = 38.23, t(526) = 0.68, ns. For physical HRQoL, we observed a main effect of Country, M (Serbia) = 39.28 vs. M (Germany) = 35.29, t(526) = 4.24, p < .001. CONCLUSION:"
"38","Process-symptom-bridges in psychotherapy: An idiographic network approach","Kaiser, T.; Laireiter, A. R.","AIM: real-time monitoring of psychotherapeutic processes was recently described as a promising, new way of tracking periods of change in ongoing treatments. This approach generates complex, multivariate datasets that have to be presented in an intuitive way for clinicians to aid their clinical decision-making. Using network modeling and new approaches in centrality analyses, we examine ""bridge nodes"" between symptom stress and aspects of the psychotherapeutic process between therapy session (intersession processes, ISP). Method:we recorded intersession processes as well as depressive and anxiety symptoms using daily questionnaires in ten cases. Regularized, thresholded intraindividual dynamic networks were estimated. We applied bridge centrality analysis to identify individual bridges between psychotherapeutic processes and symptoms in the resulting models. Case-wise interpretations of bridge centrality values are offered. RESULTS: bridge centrality analysis revealed individual bridge nodes between intersession processes and symptom severity. Strength and direction of bridges varied substantially across individuals. CONCLUSION: given current methodological challenges, idiographic network studies are feasible and offer important insights for psychotherapy process research. In this case, we demonstrated how patients deal with periods of increased symptom stress. In this case we have described how patients deal with their therapy under increased symptom load. Bridges between psychotherapeutic processes and symptom stress are a promising target for monitoring systems based on ISP. Future studies should examine the clinical utility of network-based monitoring and feedback in ongoing therapies. In the near future, process feedback systems based on idiographic models could serve clinicians to improve treatments. NA NA NA",2018,"2018/12/27","J Pers Oriented Res",4,"2","49-62",33569133,"10.17505/jpor.2018.06",NA,"#64","Kaiser 2018","Louis Schiekiera (2023-06-08 18:55:45)(Screen): pos; ","","en",1,"RESULTS: bridge centrality analysis revealed individual bridge nodes between intersession processes and symptom severity. Strength and direction of bridges varied substantially across individuals. CONCLUSION:"
"39","Physical activity, mental and physical health during the Covid-19 outbreak: longitudinal predictors of suicide ideation in Germany","Brailovskaia, J.; Truskauskaite-Kuneviciene, I.; Kazlauskas, E.; Gelezelyte, O.; Teismann, T.; Margraf, J.","AIM: Suicide ideation has increased since the outbreak of Covid-19 in many countries. The present longitudinal study investigated potential predictors of suicide ideation. SUBJECT AND METHODS: Data of 406 participants from Germany (age M = 27.69, SD = 6.88) were assessed via online surveys in spring 2020 (baseline, BL) and in spring 2021 (follow-up, FU). RESULTS: The current results reveal a significant increase in symptoms of depression, anxiety, and stress between 2020 and 2021. Positive mental health (PMH), sense of control, and physical health significantly decreased. Depression symptoms (BL), PMH (BL), and consciously enhanced physical activity since the pandemic outbreak (FU) significantly predicted 12-month suicide ideation (FU). In a moderated mediation analysis, the positive relationship between depression and suicide ideation was significantly mediated by PMH. Consciously enhanced physical activity significantly moderated the negative association between PMH and suicide ideation. CONCLUSION: The context of Covid-19 could negatively impact mental health and physical health. This might increase the risk for suicide ideation. However, PMH and physical activity might serve as protective factors. The protective effect of physical activity could be especially important in people with high depression symptoms and low PMH, such as clinical patients. Potential ways of how PMH and physical activity could be enhanced in the Covid-19 context to prevent suicide ideation are discussed. NA NA NA",2022,"Mar 25","Z Gesundh Wiss",NA,"","1-11",35369671,"10.1007/s10389-022-01708-0",NA,"#65","Brailovskaia 2022","Louis Schiekiera (2023-06-12 18:57:46)(Screen): pos; ","","en",1,"RESULTS: The current results reveal a significant increase in symptoms of depression, anxiety, and stress between 2020 and 2021. Positive mental health (PMH), sense of control, and physical health significantly decreased. Depression symptoms (BL), PMH (BL), and consciously enhanced physical activity since the pandemic outbreak (FU) significantly predicted 12-month suicide ideation (FU). In a moderated mediation analysis, the positive relationship between depression and suicide ideation was significantly mediated by PMH. Consciously enhanced physical activity significantly moderated the negative association between PMH and suicide ideation. CONCLUSION:"
"41","Experimental longitudinal evidence for causal role of social media use and physical activity in COVID-19 burden and mental health","Brailovskaia, J.; Swarlik, V. J.; Grethe, G. A.; Schillack, H.; Margraf, J.","AIM: The COVID-19 outbreak has severely impacted people's mental health. The present experimental study investigated how to reduce this negative effect by a combination of two interventions. SUBJECT AND METHODS: Participants (N (total) = 642) were users of social media in Germany. For two weeks, the social media group (N = 162) reduced its social media use (SMU) by 30 minutes daily, the physical activity group (N = 161) increased its physical activity by 30 minutes daily, the combination group (N = 159) followed both instructions, and the control group (N = 160) did not get specific instructions. Online surveys assessed variables of SMU, physical activity, mental health, COVID-19 burden, and lifestyle at six measurement time points up to six months after the intervention. RESULTS: In the experimental groups, (addictive) SMU, depression symptoms, and COVID-19 burden decreased, while physical activity, life satisfaction, and subjective happiness increased. All effects were stronger and more stable in the combination group in the longer-term. Smoking behavior decreased in the social media group only. CONCLUSION: Thus, the conscious combination of less SMU and more physical activity leads causally to more psychological resilience against negative pandemic impacts and to higher levels of mental health over six months. Prevention programs could improve their effectiveness by integrating the time- and cost-efficient interventions - separately or in combination. SUPPLEMENTARY INFORMATION: The online version contains supplementary material available at 10.1007/s10389-022-01751-x. NA NA NA",2022,"Sep 2","Z Gesundh Wiss",NA,"","1-14",36068852,"10.1007/s10389-022-01751-x",NA,"#67","Brailovskaia 2022","Jonathan Diederichs (2023-05-20 00:32:39)(Screen): pos; ","","en",1,"RESULTS: In the experimental groups, (addictive) SMU, depression symptoms, and COVID-19 burden decreased, while physical activity, life satisfaction, and subjective happiness increased. All effects were stronger and more stable in the combination group in the longer-term. Smoking behavior decreased in the social media group only. CONCLUSION:"
"43","Assessing Diabetes Self-Management with the Diabetes Self-Management Questionnaire (DSMQ) Can Help Analyse Behavioural Problems Related to Reduced Glycaemic Control","Schmitt, A.; Reimer, A.; Hermanns, N.; Huber, J.; Ehrmann, D.; Schall, S.; Kulzer, B.","AIM: To appraise the Diabetes Self-Management Questionnaire (DSMQ)'s measurement of diabetes self-management as a statistical predictor of glycaemic control relative to the widely used SDSCA. METHODS: 248 patients with type 1 diabetes and 182 patients with type 2 diabetes were cross-sectionally assessed using the two self-report measures of diabetes self-management DSMQ and SDSCA; the scales were used as competing predictors of HbA1c. We developed a structural equation model of self-management as measured by the DSMQ and analysed the amount of variation explained in HbA1c; an analogue model was developed for the SDSCA. RESULTS: The structural equation models of self-management and glycaemic control showed very good fit to the data. The DSMQ's measurement of self-management showed associations with HbA1c of -0.53 for type 1 and -0.46 for type 2 diabetes (both P < 0.001), explaining 21% and 28% of variation in glycaemic control, respectively. The SDSCA's measurement showed associations with HbA1c of -0.14 (P = 0.030) for type 1 and -0.31 (P = 0.003) for type 2 diabetes, explaining 2% and 10% of glycaemic variation. Predictive power for glycaemic control was significantly higher for the DSMQ (P < 0.001). CONCLUSIONS: This study supports the DSMQ as the preferred tool when analysing self-reported behavioural problems related to reduced glycaemic control. The scale may be useful for clinical assessments of patients with suboptimal diabetes outcomes or research on factors affecting associations between self-management behaviours and glycaemic control. NA NA NA",2016,"2016/03/03","PLOS ONE",11,"3","e0150774",26938980,"10.1371/journal.pone.0150774",NA,"#70","Schmitt 2016","Louis Schiekiera (2023-05-23 13:02:36)(Screen): pos; ","","en",1,"RESULTS: The structural equation models of self-management and glycaemic control showed very good fit to the data. The DSMQ's measurement of self-management showed associations with HbA1c of -0.53 for type 1 and -0.46 for type 2 diabetes (both P < 0.001), explaining 21% and 28% of variation in glycaemic control, respectively. The SDSCA's measurement showed associations with HbA1c of -0.14 (P = 0.030) for type 1 and -0.31 (P = 0.003) for type 2 diabetes, explaining 2% and 10% of glycaemic variation. Predictive power for glycaemic control was significantly higher for the DSMQ (P < 0.001). CONCLUSIONS:"
"47","Reduction of depressive symptoms predicts improved glycaemic control: Secondary results from the DIAMOS study","Schmitt, A.; Reimer, A.; Ehrmann, D.; Kulzer, B.; Haak, T.; Hermanns, N.","AIMS: Evidence from randomised trials analysing effects of depression treatment on glycaemic control in group comparisons is inconsistent. The aim of this study was to test if the reduction of depressive symptoms would explain improved glycaemic control irrespective of treatment groups. METHODS: The DIAMOS study tested effects of cognitive-behavioural therapy (CBT) versus usual care on depressive symptoms in a 12-month prospective trial; HbA(1c) was a secondary outcome. Since the results suggested superiority of CBT for improving depressive symptoms, but not HbA(1c), we conducted this secondary analysis to test if reduction of depressive symptoms could explain improved glycaemic control when assessed irrespective of treatment group affiliation. Reduction of depressive symptoms was assessed using baseline-to-follow-up changes in the Center for Epidemiologic Studies Depression Scale (CES-D). We used multiple regression analyses, adjusting for baseline HbA(1c) and depression, group affiliation and covariates, to assess associations between reduction of depressive symptoms and follow-up HbA(1c). RESULTS: 181 participants provided eligible data. Depressive symptoms decreased between baseline and follow-up by averagely -5.1+/-11.8 CES-D points. Greater reduction of depressive symptoms predicted greater improvement of HbA(1c) at follow-up, while adjusting for baseline HbA(1c) and covariates (Beta=-0.24, P=0.004). Additionally, patients with greater reduction of depressive symptoms were more likely to reach in-target HbA(1c) (<7.5%) at follow-up (adjusted OR=1.04, 95% CI 1.01-1.08, P=0.023). CONCLUSIONS: The findings suggest that reduction of depressive symptoms can explain improved glycaemic control. Behavioural treatments might aim to improve both affective and glycaemic outcomes. NA NA NA",2017,"Nov","J Diabetes Complications",31,"11","1608-1613",28865713,"10.1016/j.jdiacomp.2017.08.004",NA,"#76","Schmitt 2017","Louis Schiekiera (2023-06-12 23:00:14)(Screen): pos; ","","en",1,"RESULTS: 181 participants provided eligible data. Depressive symptoms decreased between baseline and follow-up by averagely -5.1+/-11.8 CES-D points. Greater reduction of depressive symptoms predicted greater improvement of HbA(1c) at follow-up, while adjusting for baseline HbA(1c) and covariates (Beta=-0.24, P=0.004). Additionally, patients with greater reduction of depressive symptoms were more likely to reach in-target HbA(1c) (<7.5%) at follow-up (adjusted OR=1.04, 95% CI 1.01-1.08, P=0.023). CONCLUSIONS:"
"48","Impact of an acceptance facilitating intervention on diabetes patients' acceptance of Internet-based interventions for depression: a randomized controlled trial","Baumeister, H.; Nowoczin, L.; Lin, J.; Seifferth, H.; Seufert, J.; Laubner, K.; Ebert, D. D.","AIMS: To (1) determine diabetes patients' acceptance of Internet-based interventions (IBIs) for depression, to (2) examine the effectiveness of an acceptance facilitating intervention (AFI) and to (3) explore subgroup specific effects. METHODS: 141 diabetes patients from two inpatient rehabilitation units and one outpatient clinic in Germany were randomly allocated to an intervention (IG) and a no-intervention control group (CG). The IG received an AFI consisting of a personal information session before filling-out a questionnaire on patients' acceptance of IBIs, predictors of acceptance (performance expectancy, effort expectancy, social influence, facilitating conditions, and Internet anxiety) as well as sociodemographic, depression-related and diabetes-related variables. The CG filled out the questionnaire immediately. Patients' acceptance of IBIs was measured with a four-item scale (sum-score ranging from 4 to 20). RESULTS: The CG showed a low (50.7%) to medium (40.8%) acceptance with only 8.5% of all diabetes patients reporting a high acceptance of IBIs for depression. The AFI had no significant effect on acceptance (IG: M=10.55, SD=4.69, n=70; KG: M=9.65, SD=4.27, n=71; d=0.20 [95%-CI: -0.13;0.53]) and the predictors of acceptance. Yet, subgroup analyses yielded a trend for depressed, diabetes-related distressed, female and younger (<59) participants and for those who do not frequently use the Internet to profit from the AFI. CONCLUSION: Diabetes patients show a rather low acceptance toward IBIs for depression. Findings indicate that the AFI is likely to be effective in the subgroup of depressed, diabetes-related distressed, female or younger diabetes patients, but not in the whole target population. Hence, AFIs might need to be tailored to the specific needs of subpopulations. NA NA NA",2014,"Jul","Diabetes Res Clin Pract",105,"1","30-9",24862240,"10.1016/j.diabres.2014.04.031",NA,"#79","Baumeister 2014","Louis Schiekiera (2023-06-12 22:13:34)(Screen): mix; ","","en",0,"RESULTS: The CG showed a low (50.7%) to medium (40.8%) acceptance with only 8.5% of all diabetes patients reporting a high acceptance of IBIs for depression. The AFI had no significant effect on acceptance (IG: M=10.55, SD=4.69, n=70; KG: M=9.65, SD=4.27, n=71; d=0.20 [95%-CI: -0.13;0.53]) and the predictors of acceptance. Yet, subgroup analyses yielded a trend for depressed, diabetes-related distressed, female and younger (<59) participants and for those who do not frequently use the Internet to profit from the AFI. CONCLUSION:"
"50","Reducing problematic alcohol use in employees: economic evaluation of guided and unguided web-based interventions alongside a three-arm randomized controlled trial","Buntrock, C.; Freund, J.; Smit, F.; Riper, H.; Lehr, D.; Boss, L.; Berking, M.; Ebert, D. D.","AIMS: To perform an economic evaluation of guided and unguided internet-based interventions to reduce problematic alcohol consumption in employees compared with a waiting-list control condition (WLC) with unrestricted access to treatment-as-usual. DESIGN: A cost-effectiveness analysis (CEA) and cost-utility analysis (CUA) from a societal and a cost-benefit analysis from the employer's perspective with a 6-month time horizon. SETTING: Open recruitment in the German working population. PARTICIPANTS: Employees (178 males, 256 females, mean age 47 years) consuming at least 14 (women) or 21 (men) standard units of alcohol (SUAs) per week and scoring >/= 8 (men) or 6 (women) on the Alcohol Use Disorders Identification Test. MEASUREMENTS: On-line questionnaires administered to assess SUAs and assess quality of life (AQoL-8D) and resource use. Outcome measure was responder (</= 14/</= 21 SUAs) for the CEA and quality-adjusted life years (QALYs) for the CUA. Net benefit regression was used to estimate cost-effectiveness for each study arm. Bootstrapping and sensitivity analyses were performed to account for uncertainty. INTERVENTIONS: Five weekly modules including personalized normative feedback, motivational interviewing, goal setting, problem-solving and emotion regulation, provided with adherence-focused guidance [n = 142; responders: n = 73 (51.4%); QALYs = 0.364, standard error (SE) = 0.006] or without guidance [n = 146; n = 66 (45.2%); 0.359, 0.007]. Controls were on a waiting-list [n = 144; n = 38 (26.4%); 0.342, 0.007]. FINDINGS: From a societal perspective, the guided intervention had a probability of 55% (54%) of being the most efficient strategy at a willingness-to-pay (WTP) of euro0 per responder (QALY) gained, compared with the unguided intervention and the control condition. At a WTP of euro20 000 per QALY gained, the probability was 78%. From an employer's perspective, the guided intervention had a higher probability of a positive return on investment (81%) compared with the unguided intervention (58%). CONCLUSION: A guided internet-based intervention to reduce problematic alcohol consumption in employees appears to be both cost-beneficial and cost-effective. NA NA NA",2022,"Mar","Addiction",117,"3","611-622",34648235,"10.1111/add.15718",NA,"#81","Buntrock 2022","Louis Schiekiera (2023-05-18 01:22:26)(Screen): pos; ","","en",1,"INTERVENTIONS: Five weekly modules including personalized normative feedback, motivational interviewing, goal setting, problem-solving and emotion regulation, provided with adherence-focused guidance [n = 142; responders: n = 73 (51.4%); QALYs = 0.364, standard error (SE) = 0.006] or without guidance [n = 146; n = 66 (45.2%); 0.359, 0.007]. Controls were on a waiting-list [n = 144; n = 38 (26.4%); 0.342, 0.007]. FINDINGS: From a societal perspective, the guided intervention had a probability of 55% (54%) of being the most efficient strategy at a willingness-to-pay (WTP) of euro0 per responder (QALY) gained, compared with the unguided intervention and the control condition. At a WTP of euro20 000 per QALY gained, the probability was 78%. From an employer's perspective, the guided intervention had a higher probability of a positive return on investment (81%) compared with the unguided intervention (58%). CONCLUSION:"
